SpeciesNEW	WP	WS
Abrus precatorius	4.5001	
Aceratium oppositifolium	4.2441	
Aglaia argentea	18.9032	
Aglaia brassii	8.9585	
Aglaia caroli	4.0449	
Aglaia cucullata	1.2	
Aglaia denticulata		9.425
Aglaia lepiorrhachis	63.6331	
Aglaia rimosa	5.4979	
Ailanthus integrifolia	1.4308	
Albizia procera		3.1162
Allophylus cobbe	68.6624	
Alstonia scholaris	50.3012	10.106
Antidesma excavatum	2	
Aphanamixis polystachya	20.879	
Aporosa papuana	3.8	
Archidendron lucyi	26.4	
Archidendron ptenopum	32.5271	
Ardisia lanceolata		1.2
Areca catechu		10.5538
Artocarpus camansi		125.1964
Artocarpus lacucha		4.8962
Artocarpus sepicanus	92.1	5.7018
Austromyrtus floribunda	16.5715	
Barringtonia apiculata	3.6873	14.6111
Barringtonia calyptrocalyx	0	
Breynia cernua		9.8115
Bridelia macrocarpa	6.8333	4.75
Buchanania arborescens	1.8	
Callicarpa farinosa		1.8933
Callicarpa longifolia		23.4861
Callicarpa pentandra		23.6794
Calophyllum soulattri	59.3127	
Cananga odorata	0.8	1.4
Canarium acutifolium	8.4896	2.4
Canarium indicum	44.3	6.5597
Canarium oleosum	7.2777	
Canarium vitiense	2.0183	
Carica papaya	1.1041	
Caryota rumphiana	38.2	
Cayratia schumanniana	0	
Celtis latifolia	382.1753	10.6306
Celtis philippensis	158.6289	0.426
Cerbera floribunda	46.8452	10.4259
Chionanthus brassii	17.1411	
Chionanthus sessiliflorus	19.8	
Chisocheton ceramicus	182.7505	2.5
Chisocheton cumingianus	30.3348	
Chisocheton formicarum	7.468	
Chisocheton lasiocarpus	5.2	
Chisocheton trichocladus	43.4619	
Cinnamomum grandiflorum	46.2	
Cissus repens	0	
Claoxylon polot		6.722
Clerodendrum inerme		6.7159
Clerodendrum tracyanum		1.9562
Clymenia polyandra	8	
Coelospermum salomoniense	18.4	
Commersonia bartramia		140.7689
Cordyline terminalis		2.4
Croton womersleyi	2.1	
Cryptocarya caloneura	19.8	
Cryptocarya depressa	13.2407	
Cryptocarya idenburgensis	5.7657	
Cryptocarya mackinnoniana	22.2484	
Cryptocarya massoy	14.5746	
Cryptocarya medicinalis	1.6	
Cryptocarya multipaniculata	11.1187	
Cryptocarya novo-guineensis	19.3313	
Cupaniopsis acuticarpa	16	9
Cupaniopsis macropetala	27.4	
Decaspermum rhodoleucum	4.8	
Dendrocnide cordata		6.5605
Dendrocnide longifolia	84.4382	78.6695
Dennstaedtia moluccana		18
Dichapetalum papuanum	3	
Dictyoneura obtusa	13.2	
Diospyros ellipticifolia	2.4	
Diospyros lolin		2.3523
Dracaena angustifolia	11.8615	
Dracontomelon dao	177.2977	14.8
Drypetes lasiogynoides	72.993	
Dysoxylum alliaceum	12.1462	
Dysoxylum arborescens	123.2543	3.8346
Dysoxylum brassii	10.3992	
Dysoxylum gaudichaudianum		0.296
Dysoxylum macrostachyum	5.6	
Dysoxylum molle	24.2407	
Dysoxylum pettigrewianum	12.8094	
Dysoxylum richardianum	271.8979	
Elaeocarpus amplifolius	22.1516	
Elaeocarpus miegei	4.4	
Embelia cotinoides	1.8	
Endocomia macrocoma	18.0036	
Endospermum labios	3.3904	6.454
Endospermum medullosum	124.0263	
Entada phaseoloides	1.8602	
Eriachne squarrosa	41.6	
Erythrospermum candidum	155.2126	
Euroschinus papuanus	3.5	
Faradaya splendida	11.3409	
Ficus adenosperma		1.8
Ficus ampelas		2.4
Ficus arfakensis	1.2	3.2411
Ficus congesta	3.6546	47.1731
Ficus gul	1.4	11.9513
Ficus hahliana	44.2072	
Ficus hispidioides		7.4086
Ficus hombroniana	98.7801	
Ficus melinocarpa	1.8	43.8952
Ficus nodosa	1	34.3396
Ficus pseudojaca	4.3642	
Ficus pungens	9.5077	272.66331
Ficus rubrivestimenta	37.1108	
Ficus semivestita		8.507
Ficus trachypison	17.6829	12.0474
Ficus variegata	5.9	839.4331
Ficus virens	100.3	
Ficus wassa	2.1998	12.4043
Freycinetia kanehirae	11.2	
Galearia celebica	54.5	
Ganophyllum falcatum	2.609	
Garcinia assugu	9	
Garcinia latissima	5.1509	
Garcinia maluensis	7.5	
Garuga floribunda	1	23.6586
Gastonia spectabilis		56.3111
Gigasiphon schlechteri	26.4792	
Gmelina palawensis	3.5	
Gnetum gnemon	136.9436	0.518
Gnetum gnemonoides	360.9846	
Gnetum latifolium	21.7688	
Goniothalamus aruensis	0.297	
Guioa comesperma	38.2434	3
Gulubia costata	37.1	
Gymnacranthera paniculata	341.6272	0.2
Harpullia arborea	8.3198	
Harpullia longipetala	3	
Heritiera littoralis	3.4	
Hibiscus papuodendron	1.6	
Homalanthus novoguineensis		0.193
Horsfieldia basifissa	549.773	10.0581
Horsfieldia hellwigii	33.1224	
Horsfieldia irya	4.1031	
Horsfieldia sylvestris	6.3723	
Intsia bijuga	4.8363	205.9059
Kingiodendron novoguineense	44	2
Lagerstroemia archeriana	1	
Leucosyke australis		24.2468
Leucosyke capitellata		23.0587
Licuala beccariana	12.3666	3
Litsea collina	124.7651	
Litsea guppyi		1.5
Litsea timoriana	117.8549	
Lophopetalum torricellense	8.8	
Macaranga aleuritoides	19.3496	435.9488
Macaranga ducis	4.8646	89.9169
Macaranga fallacina	25.7291	9.7049
Macaranga neobritannica	23.5289	11.266
Macaranga novoguineensis	3.2456	
Macaranga punctata	19.1109	
Macaranga quadriglandulosa		9.8652
Macaranga tanarius	6.1405	1065.0741
Maclura amboinensis	9.5126	
Mallotus chromocarpus	5.2	
Mallotus oblongifolius	10.0503	
Mallotus peltatus	13.0674	
Mangifera indica		9.0289
Maniltoa psilogyne	5	
Maniltoa schefferi	226.8	
Mastixiodendron pachyclados	478.9198	0
Medusanthera laxiflora	12.4319	
Melanolepis multiglandulosa		66.3819
Melicope elleryana		141.3134
Merremia peltata	3	
Merrilliodendron megacarpum	16.872	
Microcos argentata	70.8216	
Microcos grandiflora	200.6414	
Micromelum minutum	1.6663	
Millettia pinnata	20	
Mischocarpus largifolius	3.3	
Musa peekelii	2	
Myristica crassipes	10.8	
Myristica fatua	111.59684	
Myristica globosa	4.8	6.0519
Myristica hollrungii	4.9504	
NA	85.9854	1.6
Neisosperma citrodora	8.8951	
Neonauclea obversifolia	695.3306	
Neoscortechinia forbesii	23.9718	
Neosepicaea viticoides	3	
Neuburgia corynocarpa	8.3284	
Octomeles sumatrana		2.4922
Omphalea papuana	19.1144	
Osmoxylon novo-guineense	2.9883	
Palaquium morobense	221.0577	
Palaquium warburgianum	6.4459	
Pandanus kaernbachii	77.7	
Pangium edule	299.3434	
Papuechites aambe	3.8893	
Parkia versteeghii	51.8	
Petraeovitex multiflora	12.5924	
Phaeanthus ebracteolatus	5.8	
Phaeanthus macropodus	29.5051	
Phyllanthus clamboides	39.4604	5.0463
Pimelodendron amboinicum	501.7662	
Pipturus argenteus		0
Pisonia longirostris	32.2458	4.8
Planchonella myrsinodendron	0.1875	
Planchonella xylocarpa	1.6731	
Polyalthia glauca	84.47202	
Pometia pinnata	1367.7083	24.0361
Pouteria obovata	23.6607	
Prainea papuana	19.055	
Premna obtusifolia		30.7151
Protium macgregorii	2	2
Prunus costata	115.0789	
Prunus schlechteri	13.1976	
Psydrax cymigera	11.3317	
Pterocarpus indicus	15.9866	99.3439
Pterocymbium beccarii	4.268	
Rhus taitensis		7.5488
Rourea minor	6	
Sarcocephalus coadunatus		239.5642
Semecarpus schlechteri	9.4986	1
Sloanea sogerensis	2	
Spondias dulcis		13.0729
Sterculia ampla	54.236	4.841
Sterculia conwentzii		8.6657
Sterculia schumanniana	49.9591	
Strychnos minor	148.4529	
Syzygium branderhorstii	17.6	
Syzygium fastigatum	10	
Syzygium furfuraceum	8.1469	
Syzygium gonatanthum	25.7402	
Syzygium hylophilum	2	
Syzygium longipes	44.0491	
Syzygium malaccense	5.7282	
Tabernaemontana orientalis	1.3406	2
Tecomanthe dendrophila	1.8	
Teijsmanniodendron bogoriense	747.9111	
Terminalia archipelagi	105.7186	
Terminalia complanata	120.8481	12.7779
Terminalia kaernbachii	86.0247	
Ternstroemia cherryi	72.7065	
Tetrameles nudiflora		29.1898
Tetrastigma lauterbachianum	1.8	
Timonius kaniensis	0.821	
Timonius timon		9.5539
Trema orientalis		545.2529
Trichospermum pleiostigma		1129.28366
Tristiropsis acutangula	10.2	
Uncaria appendiculata	59.5533	
Uncaria lanosa	9.0741	
Uvaria rosenbergiana	2.8745	
Vatica papuana	118.5276	
Versteegia cauliflora	10.9012	
Vitex cofassus		202.0398
Wrightia laevis		0.23
Xanthophyllum papuanum	82.2434	
Ziziphus angustifolia	50.3622	
